,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
31,2023-08-01,58.36851306035786,-18.419347282457736,17.48849599380418,58.36851306035786,58.36851306035786,-58.749649761484555,-58.749649761484555,-58.749649761484555,-58.749649761484555,-58.749649761484555,-58.749649761484555,0.0,0.0,0.0,-0.3811367011266924
32,2023-09-01,58.55665247844269,-165.35858651639126,-129.06435123959096,58.55665247844269,58.55665247844269,-204.6611724783298,-204.6611724783298,-204.6611724783298,-204.6611724783298,-204.6611724783298,-204.6611724783298,0.0,0.0,0.0,-146.10451999988712
33,2023-10-01,58.73872288304092,-302.282543705973,-268.7226233283009,58.73872288304092,58.73872288304092,-344.5306805586437,-344.5306805586437,-344.5306805586437,-344.5306805586437,-344.5306805586437,-344.5306805586437,0.0,0.0,0.0,-285.7919576756028
34,2023-11-01,58.92686230112031,-323.33805613033326,-287.57082924119555,58.92686230112031,58.92686230112031,-365.00963391147303,-365.00963391147303,-365.00963391147303,-365.00963391147303,-365.00963391147303,-365.00963391147303,0.0,0.0,0.0,-306.0827716103527
35,2023-12-01,59.10893270565622,-53.878867681964806,-17.689912240389223,59.10893270565622,59.10893270565622,-94.67261436903942,-94.67261436903942,-94.67261436903942,-94.67261436903942,-94.67261436903942,-94.67261436903942,0.0,0.0,0.0,-35.5636816633832
36,2024-01-01,59.29707212367667,1231.7838139224634,1267.1118970804234,59.29707212367667,59.29707212367667,1190.7710283733443,1190.7710283733443,1190.7710283733443,1190.7710283733443,1190.7710283733443,1190.7710283733443,0.0,0.0,0.0,1250.0681004970209
37,2024-02-01,59.485211541757664,834.1682194431585,870.2065819437141,59.485211541757664,59.485211541757664,792.8035178627638,792.8035178627638,792.8035178627638,792.8035178627638,792.8035178627638,792.8035178627638,0.0,0.0,0.0,852.2887294045214
38,2024-03-01,59.6612129327991,-652.2406422679135,-617.7699835490541,59.6612129327991,59.6612129327991,-694.4727356703229,-694.4727356703229,-694.4727356703229,-694.4727356703229,-694.4727356703229,-694.4727356703229,0.0,0.0,0.0,-634.8115227375238
39,2024-04-01,59.849352350808914,-241.37563961903976,-206.71115934901107,59.849352350808914,59.849352350808914,-284.45318616520655,-284.45318616520655,-284.45318616520655,-284.45318616520655,-284.45318616520655,-284.45318616520655,0.0,0.0,0.0,-224.60383381439763
40,2024-05-01,60.03142275533454,36.9308626285698,74.45064284316612,60.03142275533454,60.03142275533454,-3.394463171687002,-3.394463171687002,-3.394463171687002,-3.394463171687002,-3.394463171687002,-3.394463171687002,0.0,0.0,0.0,56.63695958364754
41,2024-06-01,60.21956217334436,135.94093982476303,171.6822248166732,60.21956217334436,60.21956217334436,93.45132100341223,93.45132100341223,93.45132100341223,93.45132100341223,93.45132100341223,93.45132100341223,0.0,0.0,0.0,153.6708831767566
42,2024-07-01,60.401632577869975,117.72146902912417,152.0507060667586,60.401632577869975,60.401632577869975,73.56577413929276,73.56577413929276,73.56577413929276,73.56577413929276,73.56577413929276,73.56577413929276,0.0,0.0,0.0,133.96740671716273
43,2024-08-01,60.589771995879794,10.401682973233981,45.01800285150632,60.589771995879794,60.589771995879794,-33.16701750949312,-33.16701750949312,-33.16701750949312,-33.16701750949312,-33.16701750949312,-33.16701750949312,0.0,0.0,0.0,27.422754486386673
44,2024-09-01,60.777911413889605,-136.43127559061304,-101.16807610021037,60.777911413889605,60.777911413889605,-178.93271465017418,-178.93271465017418,-178.93271465017418,-178.93271465017418,-178.93271465017418,-178.93271465017418,0.0,0.0,0.0,-118.15480323628458
45,2024-10-01,60.95998181841524,-295.75007804625443,-259.64114993452233,60.95998181841524,60.95998181841524,-338.0334712142584,-338.0334712142584,-338.0334712142584,-338.0334712142584,-338.0334712142584,-338.0334712142584,0.0,0.0,0.0,-277.0734893958431
46,2024-11-01,61.14812123642504,-344.7975433332841,-310.0110595690738,61.14812123642504,61.14812123642504,-388.0409584392428,-388.0409584392428,-388.0409584392428,-388.0409584392428,-388.0409584392428,-388.0409584392428,0.0,0.0,0.0,-326.89283720281776
47,2024-12-01,61.33019164095067,-113.37334138220596,-78.2050803445693,61.33019164095067,61.33019164095067,-157.8542194322651,-157.8542194322651,-157.8542194322651,-157.8542194322651,-157.8542194322651,-157.8542194322651,0.0,0.0,0.0,-96.52402779131442
48,2025-01-01,61.518331058960484,1248.1845783300753,1283.3005082664424,61.51833104273112,61.51833107382687,1203.1999577611707,1203.1999577611707,1203.1999577611707,1203.1999577611707,1203.1999577611707,1203.1999577611707,0.0,0.0,0.0,1264.7182888201312
49,2025-02-01,61.7064704769703,906.2060853036073,942.6899038409679,61.7064704283135,61.70647052364709,862.9813185425999,862.9813185425999,862.9813185425999,862.9813185425999,862.9813185425999,862.9813185425999,0.0,0.0,0.0,924.6877890195701
50,2025-03-01,61.876402854527555,-649.4298698006121,-613.2820791077675,61.87640276589339,61.8764029425356,-693.9739388305792,-693.9739388305792,-693.9739388305792,-693.9739388305792,-693.9739388305792,-693.9739388305792,0.0,0.0,0.0,-632.0975359760516
51,2025-04-01,62.06454227253736,-227.12498776815718,-192.40913735421933,62.06454213431335,62.064542406026526,-271.7389568734047,-271.7389568734047,-271.7389568734047,-271.7389568734047,-271.7389568734047,-271.7389568734047,0.0,0.0,0.0,-209.67441460086732
52,2025-05-01,62.24661267706299,52.46373418386113,89.32394060699595,62.24661249615857,62.2466128656472,7.340413716647786,7.340413716647786,7.340413716647786,7.340413716647786,7.340413716647786,7.340413716647786,0.0,0.0,0.0,69.58702639371077
53,2025-06-01,62.4347520950728,142.32905488006784,179.52461670283287,62.43475185999919,62.434752317664895,97.51088452726133,97.51088452726133,97.51088452726133,97.51088452726133,97.51088452726133,97.51088452726133,0.0,0.0,0.0,159.94563662233412
